101 ,2, 189.32, true,
102 ,3, 271.89, false,
103 ,1, 107.65, true,
104 ,4, 159.78, false,
105 ,2, 298.76, true,
106 ,3, 235.42, false,
107 ,4, 123.45, true,
108 ,1, 154.23, false,
109 ,2, 214.31, true,
201 ,3, 132.98, false,
202 ,4, 256.12, true,
203 ,1, 189.32, true,
204 ,2, 271.89, false,
205 ,3, 107.65, true,
206 ,4, 159.78, false,
207 ,2, 298.76, true,
208 ,3, 235.42, false,
209 ,4, 123.45, true,
301 ,1, 154.23, false,
302 ,2, 214.31, true,
303 ,3, 132.98, false,
304 ,4, 256.12, true,
305 ,1, 189.32, true,
306 ,2, 271.89, false,
307 ,3, 107.65, true,
308 ,4, 159.78, false,
309 ,2, 298.76, true,
401 ,3, 235.42, false,
402 ,4, 123.45, true,
403 ,1, 154.23, false,
404 ,2, 214.31, true,
405 ,3, 132.98, false,
406 ,4, 256.12, true,
407 ,1, 189.32, true,
408 ,2, 271.89, false,
409 ,3, 107.65, true,
